id,pickupdate,returndate,customerid,vehicleid
1,2020-04-13,2020-04-13,2688,27066
2,2020-04-13,2020-04-13,29219,22253
3,2020-04-13,2020-04-13,20939,19100
4,2020-04-13,2020-04-13,30538,35719
5,2020-04-13,2020-04-13,4530,14560
6,2020-04-13,2020-04-13,4518,30404
7,2020-04-13,2020-04-13,2267,28865
8,2020-04-13,2020-04-13,31167,10526
9,2020-04-13,2020-04-13,2698,32978
10,2020-04-13,2020-04-13,8781,2535
11,2020-04-13,2020-04-13,23657,32402
12,2020-04-13,2020-04-13,19939,46033
13,2020-04-13,2020-04-13,29574,27823
14,2020-04-13,2020-04-13,7040,30243
15,2020-04-13,2020-04-13,3068,45202
16,2020-04-13,2020-04-13,18163,39651
17,2020-04-13,2020-04-13,13279,20725
18,2020-04-13,2020-04-13,6748,42874
19,2020-04-13,2020-04-13,21977,4697
20,2020-04-13,2020-04-13,29460,20445
21,2020-04-13,2020-04-13,10329,43666
22,2020-04-13,2020-04-13,11272,42447
23,2020-04-13,2020-04-13,29887,43687
24,2020-04-13,2020-04-13,26469,33215
25,2020-04-13,2020-04-13,20303,14510
26,2020-04-13,2020-04-13,8294,40764
27,2020-04-13,2020-04-13,6718,14442
28,2020-04-13,2020-04-13,11588,20363
29,2020-04-13,2020-04-13,937,717
30,2020-04-13,2020-04-13,1489,11313
31,2020-04-13,2020-04-13,7592,25105
32,2020-04-13,2020-04-13,20399,33852
33,2020-04-13,2020-04-13,6419,31437
34,2020-04-13,2020-04-13,11810,27339
35,2020-04-13,2020-04-13,8652,510
36,2020-04-13,2020-04-13,31866,22902
37,2020-04-13,2020-04-13,5368,37952
38,2020-04-13,2020-04-13,18847,51293
39,2020-04-13,2020-04-13,1147,33159
40,2020-04-13,2020-04-13,15540,28199
41,2020-04-13,2020-04-13,24696,31649
42,2020-04-13,2020-04-13,24366,28696
43,2020-04-13,2020-04-13,17588,21746
44,2020-04-13,2020-04-13,26389,19336
45,2020-04-13,2020-04-13,27611,9338
46,2020-04-13,2020-04-13,14281,17692
47,2020-04-13,2020-04-13,17775,48734
48,2020-04-13,2020-04-13,7282,10310
49,2020-04-13,2020-04-13,23939,42179
50,2020-04-13,2020-04-13,21732,42736
51,2020-04-13,2020-04-13,22653,33998
52,2020-04-13,2020-04-13,14126,2660
53,2020-04-13,2020-04-13,22903,32118
54,2020-04-13,2020-04-13,6192,25503
55,2020-04-13,2020-04-13,856,22135
56,2020-04-13,2020-04-13,18439,29289
57,2020-04-13,2020-04-13,11233,14138
58,2020-04-13,2020-04-13,32116,31793
59,2020-04-13,2020-04-13,29352,14585
60,2020-04-13,2020-04-13,25397,28045
61,2020-04-13,2020-04-13,8943,25262
62,2020-04-13,2020-04-13,10387,45968
63,2020-04-13,2020-04-13,23657,36478
64,2020-04-13,2020-04-13,6846,43280
65,2020-04-13,2020-04-13,28031,822
66,2020-04-13,2020-04-13,23670,28121
67,2020-04-13,2020-04-13,29464,18687
68,2020-04-13,2020-04-13,15639,6798
69,2020-04-13,2020-04-13,26422,40391
70,2020-04-13,2020-04-13,135,17574
71,2020-04-13,2020-04-13,25017,22977
72,2020-04-13,2020-04-13,7755,1938
73,2020-04-13,2020-04-13,21335,21507
74,2020-04-13,2020-04-13,20527,22971
75,2020-04-13,2020-04-13,12163,25845
76,2020-04-13,2020-04-13,28783,21415
77,2020-04-13,2020-04-13,27887,21764
78,2020-04-13,2020-04-13,29622,6912
79,2020-04-13,2020-04-13,9662,41835
80,2020-04-13,2020-04-13,26038,27811
81,2020-04-13,2020-04-13,17984,36036
82,2020-04-13,2020-04-13,11167,45402
83,2020-04-13,2020-04-13,7307,10239
84,2020-04-13,2020-04-13,949,28710
85,2020-04-13,2020-04-13,13,39960
86,2020-04-13,2020-04-13,11975,6676
87,2020-04-13,2020-04-13,26867,45780
88,2020-04-13,2020-04-13,4670,22784
89,2020-04-13,2020-04-13,5259,51341
90,2020-04-13,2020-04-13,1839,21172
91,2020-04-13,2020-04-13,15217,28931
92,2020-04-13,2020-04-13,11746,1533
93,2020-04-13,2020-04-13,32010,36488
94,2020-04-13,2020-04-13,24984,20230
95,2020-04-13,2020-04-13,15042,36199
96,2020-04-13,2020-04-13,30147,12671
97,2020-04-13,2020-04-13,22266,51139
98,2020-04-13,2020-04-13,30773,237
99,2020-04-13,2020-04-13,4464,26040
100,2020-04-13,2020-04-13,8112,38093
101,2020-04-13,2020-04-13,28186,36766
102,2020-04-13,2020-04-13,6152,8188
103,2020-04-13,2020-04-13,18900,51243
104,2020-04-13,2020-04-13,8722,35097
105,2020-04-13,2020-04-13,919,36373
106,2020-04-13,2020-04-13,17167,36465
107,2020-04-13,2020-04-13,8305,4980
108,2020-04-13,2020-04-13,13143,43178
109,2020-04-13,2020-04-13,794,16673
110,2020-04-13,2020-04-13,999,30724
111,2020-04-13,2020-04-13,11442,39725
112,2020-04-13,2020-04-13,26976,9851
113,2020-04-13,2020-04-13,4515,11474
114,2020-04-13,2020-04-13,14850,36068
115,2020-04-13,2020-04-13,28532,45613
116,2020-04-13,2020-04-13,21597,43350
117,2020-04-13,2020-04-13,23007,33608
118,2020-04-13,2020-04-13,11280,26744
119,2020-04-13,2020-04-13,27500,49622
120,2020-04-13,2020-04-13,29485,40468
121,2020-04-13,2020-04-13,30740,9254
122,2020-04-13,2020-04-13,1649,18560
123,2020-04-13,2020-04-13,23173,13913
124,2020-04-13,2020-04-13,12770,48006
125,2020-04-13,2020-04-13,30759,30800
126,2020-04-13,2020-04-13,27457,45891
127,2020-04-13,2020-04-13,5900,48107
128,2020-04-13,2020-04-13,3563,30227
129,2020-04-13,2020-04-13,20063,36558
130,2020-04-13,2020-04-13,26284,50938
131,2020-04-13,2020-04-13,10968,6224
132,2020-04-13,2020-04-13,30655,40090
133,2020-04-13,2020-04-13,10143,40968
134,2020-04-13,2020-04-13,31741,25510
135,2020-04-13,2020-04-13,28609,8889
136,2020-04-13,2020-04-13,497,20645
137,2020-04-13,2020-04-13,12852,29846
138,2020-04-13,2020-04-13,15828,6723
139,2020-04-13,2020-04-13,9508,7238
140,2020-04-13,2020-04-13,28352,33888
141,2020-04-13,2020-04-13,13540,25419
142,2020-04-13,2020-04-13,21685,2473
143,2020-04-13,2020-04-13,26831,3431
144,2020-04-13,2020-04-13,13327,51356
145,2020-04-13,2020-04-13,15699,42025
146,2020-04-13,2020-04-13,7595,44587
147,2020-04-13,2020-04-13,31278,33149
148,2020-04-13,2020-04-13,10230,11962
149,2020-04-13,2020-04-13,11186,43188
150,2020-04-13,2020-04-13,30949,50068
151,2020-04-13,2020-04-13,21648,39031
152,2020-04-13,2020-04-13,860,36259
153,2020-04-13,2020-04-13,140,6049
154,2020-04-13,2020-04-13,15030,40257
155,2020-04-13,2020-04-13,26230,33330
156,2020-04-13,2020-04-13,13091,14472
157,2020-04-13,2020-04-13,17024,2490
158,2020-04-13,2020-04-13,26332,45356
159,2020-04-13,2020-04-13,27213,27218
160,2020-04-13,2020-04-13,6815,25711
161,2020-04-13,2020-04-13,28728,49210
162,2020-04-13,2020-04-13,4076,19809
163,2020-04-13,2020-04-13,7702,38655
164,2020-04-13,2020-04-13,14763,46618
165,2020-04-13,2020-04-13,23195,9584
166,2020-04-13,2020-04-13,26031,40892
167,2020-04-13,2020-04-13,21343,21206
168,2020-04-13,2020-04-13,10140,5287
169,2020-04-13,2020-04-13,24886,23206
170,2020-04-13,2020-04-13,29876,7963
171,2020-04-13,2020-04-13,15668,27634
172,2020-04-13,2020-04-13,10886,50593
173,2020-04-13,2020-04-13,19973,6463
174,2020-04-13,2020-04-13,9964,35010
175,2020-04-13,2020-04-13,20084,6805
176,2020-04-13,2020-04-13,29166,26789
177,2020-04-13,2020-04-13,15979,46776
178,2020-04-13,2020-04-13,4161,45685
179,2020-04-13,2020-04-13,4052,5679
180,2020-04-13,2020-04-13,30758,37720
181,2020-04-13,2020-04-13,24576,49491
182,2020-04-13,2020-04-13,10389,13612
183,2020-04-13,2020-04-13,2571,32349
184,2020-04-13,2020-04-13,20269,4524
185,2020-04-13,2020-04-13,16415,38569
186,2020-04-13,2020-04-13,20314,25983
187,2020-04-13,2020-04-13,8192,11400
188,2020-04-13,2020-04-13,16514,39712
189,2020-04-13,2020-04-13,8252,10287
190,2020-04-13,2020-04-13,31528,2056
191,2020-04-13,2020-04-13,20030,35918
192,2020-04-13,2020-04-13,5117,47398
193,2020-04-13,2020-04-13,23085,49066
194,2020-04-13,2020-04-13,19916,44776
195,2020-04-13,2020-04-13,5145,12722
196,2020-04-13,2020-04-13,30710,14606
197,2020-04-13,2020-04-13,11196,5234
198,2020-04-13,2020-04-13,6453,13913
199,2020-04-13,2020-04-13,19702,12489
200,2020-04-13,2020-04-13,283,8397
201,2020-04-13,2020-04-13,24143,21656
202,2020-04-13,2020-04-13,29298,30371
203,2020-04-13,2020-04-13,23406,26069
204,2020-04-13,2020-04-13,28610,12330
205,2020-04-13,2020-04-13,21731,6917
206,2020-04-13,2020-04-13,20676,45853
207,2020-04-13,2020-04-13,9091,33360
