id,cityname,zipcode,regionid
1,"North Merri",36212-1807,9
2,"Port Tiffaniebury",10187-7398,16
3,Nolanland,25113,4
4,Predovicport,67879-2412,4
5,Winfredshire,71834,3
6,"North Shayne",79749-6056,12
7,"North Bennytown",19268-2404,2
8,"North Jimmy",60489,12
9,"South Douglass",16965,8
10,"Port Velma",08496-3502,8
11,Russelbury,11591-0920,1
12,"South Zane",71206-1248,10
13,Kleinbury,51124,1
14,"South Gwynethport",77752-6324,2
15,"East Kylieport",06969,10
16,"New Amieeburgh",03045-9560,7
17,"South Normanside",11550,3
18,"West Isaac",26392,15
19,"East Ngatown",66833-2019,8
20,Herzogview,31927,12
21,O'Keefeberg,85670-8960,11
22,Kuvaliston,28517,10
23,Ornberg,58924,8
24,Hermannfurt,95855-3021,2
25,"West Verdiechester",12038,2
26,"Lake Catherinabury",48646-6237,4
27,"Lake Alexiston",75703-9151,14
28,"South Ruebenport",06316,6
29,"Port Ettamouth",50209-0102,5
30,"New Kyung",17792,11
31,Cartwrightborough,92409-2933,10
32,"Lake Merleburgh",08320,2
33,Ziemeton,42257,13
34,Bartonmouth,19204,12
35,"North Betseyside",47157,11
36,"East Luigi",77115,1
37,"West Mozelleshire",33943-4369,16
38,"West Elenor",37193-9112,11
39,"East Leta",50888,13
40,"North Sumiko",43810,6
41,"South Savannahberg",62987-5131,5
42,"Lake Theresefurt",97567-2679,5
43,Rickieview,80241-8742,13
44,Eldoraland,10669-1649,3
45,Bergestad,35805-3868,11
46,"East Amiee",51929,10
47,"South Delois",25509,5
48,"West Devon",33571-7663,1
49,Heathcoteburgh,88404,15
50,"Lake Evangelina",74890-8713,11
51,"Lake Lashawndaberg",52276,13
52,"North Wyattborough",31151-7918,8
53,Anitraside,25297,2
54,"North Ezratown",20383,10
55,Nestorfort,34569-3379,5
56,Bergstromfurt,01792,15
57,"South Mary",45811,8
58,Jonbury,80405,3
59,Douglasfurt,56764-1312,5
60,"North Catherinaville",72594-2365,14
61,Hyemouth,96228,15
62,Andersonchester,26317,6
63,"Port Martin",13497,3
64,"North January",26641-8841,4
65,Lucasmouth,58565,3
66,"Lake Leonia",70642,13
67,"Port Vanhaven",52815,4
68,Gerholdside,80763-6235,13
69,"West Lorean",34590,3
70,Boyerstad,83727-9524,15
71,"Lake Ema",64140,3
72,Warnertown,66372,3
73,Jacintoland,80987,1
74,Shieldsport,53974-4359,12
75,"New Charlie",71854-1577,3
76,Legrosfurt,35021,3
77,"South Lannybury",52886,1
78,"South Ciaraland",77950,4
79,Mohrberg,19393-9003,3
80,"West Linoview",67105-5170,2
81,"South Nealmouth",56629,8
82,"West Librada",84378,6
83,Deangeloburgh,71487-0246,11
84,Pfannerstillchester,90320,16
85,Hickleton,77496,12
86,"North Rodger",72097,8
87,Frankieburgh,83104,7
88,"New Winston",51147-4180,4
89,"New Thersaport",95087,4
90,"West Leanne",32837,11
91,"South Frankport",54584,2
92,Mackenziefurt,62746,7
93,"Port Delphiaburgh",63587-1539,7
94,"New Santiagoville",23454-4134,9
95,"East Shanta",31688-2064,9
96,"South Nathanieltown",27602,7
97,"North Quinton",22259,15
98,"New Nichole",06865-6421,8
99,Maidaborough,55977-1664,11
100,Macejkovichaven,30280,9
101,"North Consuelaside",14932,6
102,Windlerberg,06141,8
103,Wolfffort,50461-7915,1
104,Grantton,54879-4381,14
105,"Port Estellestad",57527-1502,1
106,Gulgowskichester,99699-9452,12
107,Leschville,52007-2877,5
108,Robertsland,22975-9812,10
109,"South Sanora",84732,8
110,"East Johannachester",67996-8194,15
111,"South Shelashire",72921-2661,13
112,"East Shana",64515,3
113,"Lake Kirby",58207,2
114,"Lake Jamemouth",89781,6
115,"Lake Roscoemouth",78554,3
116,Williantown,64498,4
117,Harbermouth,51271-9749,13
118,Zulaufland,14411-9782,3
119,Whiteview,64782,7
120,Baileytown,25875,5
121,"Lake Edmond",02597-0951,2
122,"New Marnimouth",10632-0367,3
123,"North Tristan",46634,6
124,Schulistfurt,11366-2736,14
125,Darnellhaven,14286-9053,11
126,"North Jeanette",20144-7266,1
127,Bahringerbury,66510-5699,13
128,Walkerberg,49502,16
129,"East Melvinview",63971,4
130,"New Spencer",30399-2170,16
131,"Port Laverneport",21450-8358,14
132,O'Reillyshire,82326-6410,9
133,Kuhnport,60316,9
134,Wunschmouth,11267-8219,1
135,Bartellfurt,58790-4687,14
136,"New Ricky",35584-4007,8
137,"New Tod",90831,13
138,Betsychester,13835,2
139,Dibbertland,28399,9
140,"Lake Edgardotown",02488-6482,3
141,"North Perrytown",16074,11
142,Fadelland,70750-2450,4
143,"South Jamie",94620-2650,14
144,Stehrmouth,87924,14
145,Andrewbury,29817-2647,8
146,Wmton,06094,2
147,Clarenceton,42315,15
148,"North Agustina",65996,3
149,"West Joaquin",85350-0994,14
150,Rosamondport,94531-2126,3
151,"Port Karri",79286,11
152,Schaefermouth,10155,13
153,Koeppburgh,75642-3155,12
154,Lynseymouth,05689-9165,9
155,Sauermouth,53584,12
156,"South Abraham",46298,4
157,"South Janellemouth",33153-0549,7
158,"South Timmybury",59999,13
159,"Port Kristoferstad",43781,1
160,"New Riamouth",98110-3964,14
161,Kuhnshire,31818-1874,8
162,Harrisport,84846,10
163,"New Rondabury",17207,2
164,Kurtiston,80143,9
165,"North Denver",07316-2845,3
166,"West Jarvishaven",85879,1
167,Deckowmouth,14901-8970,7
168,"Lake Josiahshire",37175,6
169,Samiraside,80032-1509,13
170,Schummborough,49877,4
171,Dickinsonstad,57095,10
172,Boganville,87262,12
173,Aufderharchester,00296,14
174,"South Curtisstad",41611-6535,11
175,Moniqueside,02416-2771,4
176,"Port Morgan",34344,14
177,"New Melodymouth",33918-3098,15
178,Ziemefort,85356-0203,11
179,Margaritoville,43741-9240,7
180,Champlinside,81083,3
181,Terrybury,13535,14
182,Jakubowskiborough,48121-7366,15
183,Keenanport,97793,3
184,Toccarastad,52604,5
185,Tillmanshire,93372,15
186,Sipeschester,33457,10
187,"East Lura",85842-0569,13
188,Millardland,09043-0153,15
189,Hillsfort,40340-4764,9
190,Nickyview,84312,16
191,Stromanshire,84719,8
192,"East Madeline",45378,12
193,Warnerville,57127,16
194,"Lake Tracyberg",71554-5658,8
195,Donnyside,66246,3
196,Rippinborough,65911-2073,8
197,Leeland,97187,11
198,"East Jackeline",66195-3031,10
199,Greggbury,43575,5
200,"New Larraine",56653-2201,13
201,"West Chadwickbury",74394,3
202,Michealview,46166,10
203,"South Ruthannberg",30808,6
204,Jacquilineton,75400-7057,14
205,Rodolfofurt,80196-3310,13
206,Brandenborough,00279,3
207,D'Amorefort,58830-7556,9
208,"South Gladys",44300-1368,12
209,"Port Edmundostad",58001,16
210,"New Dignaton",83401,14
211,"North Zita",91696-3782,5
212,"North Herthaview",60921,1
213,Bradtkeville,19485-1607,11
214,"West Ira",39121,10
215,"South Crissytown",53277-5542,14
216,"New Dusty",22976,16
217,Schaefershire,57936,1
218,Freddieberg,74132-6013,5
219,Harveyfort,33747-9158,6
220,Chiastad,27028-1758,11
221,Carolmouth,93109,4
222,Lynchberg,95662-5571,3
223,"West Stepanie",72630,3
224,"East Sidney",69222-4660,14
225,"South Dia",24564-6961,3
226,"New Wadeville",02915,16
227,"East Roseanne",09516,5
228,"South Lindseyview",64631,12
229,Wallaceburgh,47015,11
230,Hanhside,07503,11
231,McLaughlinmouth,97103-4637,12
232,Granttown,04093,16
233,"Port Chandrabury",56396-0358,12
234,Amirahaven,07112,8
235,"Lake Phylisshire",93856,16
236,Jeffereybury,14216,11
237,Schulistside,91876-0012,14
238,Despinaview,20821-7269,1
239,"North Lindsaytown",65020,12
240,"Lake Janeeberg",52733-3358,15
241,"Port Tressiestad",93713,8
242,Schambergerview,75440-8028,16
