id,licenseplatenumber,color,yearofproduction,price,modelid
1,pbtcurz,gold,2011,94276,742
2,oxmgzqf,orchid,1993,74056,923
3,mvemuog,purple,2002,46953,31
4,gzvceiw,salmon,2015,69412,731
5,ncrbsvg,turquoise,2011,92545,77
6,jwdsunp,plum,2013,70852,876
7,lfturue,violet,1993,39130,189
8,tyqmkar,turquoise,2006,26047,569
9,vcxdaoj,maroon,1991,79548,242
10,tuwfiiv,red,1998,50478,328
11,gyvcvgv,lime,1998,61821,228
12,erxyxfs,azure,2016,99840,155
13,venvsea,silver,2009,75736,225
14,dyhrqow,lavender,2016,3881,931
15,xtnjxto,ivory,2002,23815,645
16,mmdunuz,maroon,2002,71553,323
17,fiwmknj,indigo,1991,72365,809
18,gjshwtw,salmon,1992,79447,593
19,grpintt,"mint green",2015,17739,326
20,xmbscfy,violet,1992,12364,614
21,wfmgmzh,orange,2009,86458,446
22,wjzkkfk,pink,2017,9541,233
23,awpubze,olive,2010,72345,119
24,yudjqbo,pink,1995,12861,376
25,qyxsesk,grey,1999,29284,114
26,bxrpwgk,yellow,2012,10653,304
27,favogst,yellow,1992,43874,40
28,nnnvkhv,"mint green",2011,21984,992
29,nhzpkgr,grey,2014,40403,659
30,reqppbi,indigo,1994,90512,99
31,btrugmm,silver,1997,67230,192
32,zxxlpwl,black,1998,8807,716
33,wxfynzm,magenta,2009,73928,318
34,vluqdfi,lavender,2013,64334,193
35,vvyptig,green,2003,78726,911
36,evnstws,yellow,2004,5433,436
37,hyjfdpr,"mint green",2015,28002,215
38,yudhgxa,white,2002,11302,102
39,fuaixbn,silver,1992,39510,53
40,mwwyckt,teal,2013,61689,495
41,aanrutm,salmon,2000,93791,848
42,wiwrvgx,cyan,1997,10787,38
43,phpzkka,teal,1995,14765,59
44,vagirha,magenta,2003,86896,606
45,rjirdzv,salmon,1992,4832,914
46,jgtsspx,violet,2015,60225,231
47,byillqb,green,2007,12234,729
48,tgvxsrx,orange,2009,14770,506
49,ytxzgmr,silver,2013,73015,190
50,uvmlpum,lavender,2013,52548,897
51,aezlcpl,black,2002,24952,205
52,rxnttuq,gold,1991,52312,248
53,spmqzra,teal,2012,31111,528
54,xwupstz,ivory,2008,67369,191
55,wqkydoj,"sky blue",2016,10488,320
56,boehylr,pink,2012,60368,989
57,nrjdawq,maroon,2012,68297,286
58,czfrfzw,silver,1993,31136,83
59,dirubac,orange,2002,30251,813
60,dwdffex,"sky blue",1997,78156,130
61,bdqfyql,"mint green",1991,95767,257
62,rutefgp,cyan,1993,80480,645
63,gtmoatv,turquoise,1992,35426,832
64,rfijvbo,indigo,2014,26738,590
65,fqiffmg,azure,2005,86812,143
66,ywyksis,olive,2005,92607,865
67,smebocc,olive,1999,87510,600
68,sutrynv,gold,1993,32100,878
69,vnmqduz,yellow,2006,29425,782
70,sxqcerv,ivory,2017,65077,399
71,fvhwzaw,maroon,1990,26394,148
72,sadbaxo,"sky blue",1996,51455,947
73,lfomlhe,orchid,2006,18287,129
74,jmorblf,maroon,1990,57706,384
75,yzvengg,grey,2011,27893,185
76,jtozkge,plum,2000,39016,697
77,nlenjia,salmon,2000,77924,982
78,zxilrlu,black,2013,94161,854
79,uvlnlhg,orange,2007,96674,996
80,ciwdqnu,salmon,2012,97130,213
81,vqtixuv,red,1994,36655,41
82,diudhfo,cyan,2007,11977,266
83,tuxslvf,violet,2008,29777,766
84,rutvilt,orange,2011,85602,703
85,wohptyv,"mint green",2009,24531,881
86,jofwqyi,black,1998,44571,793
87,nrdwlfa,pink,2004,86139,167
88,gouqgkh,blue,2002,40958,966
89,wxaansk,blue,1999,24680,838
90,fqphgzc,"mint green",2015,62845,324
91,wcbdiso,maroon,2007,99719,607
92,ftnydem,azure,2014,7874,837
93,xrwiffy,tan,1998,83713,619
94,ntwpugq,green,2014,48412,200
95,ogxmiav,magenta,2007,15816,993
96,qfqqrli,silver,2017,4364,900
97,epuckon,azure,2008,9420,23
98,jsymryi,teal,1991,94508,647
99,wccgjgb,teal,2001,2036,137
100,hfhtcwn,orchid,2011,30555,625
101,rjcgwsu,turquoise,2000,13962,343
102,qlrnrue,orchid,2008,73891,663
103,kfiwvby,white,2012,5870,603
104,tgmtybn,gold,1999,72839,930
105,ywcjdsw,magenta,2013,86474,793
106,mdrvuif,red,2004,79119,313
107,avngkwm,red,1991,31103,145
108,ewqbvfl,"sky blue",1990,57405,789
109,hdrqcmi,orchid,1997,7490,659
110,pfpvphx,silver,2007,61813,387
111,apktdtr,tan,2011,96560,436
112,uiniitb,lime,1995,99349,954
113,emvondi,maroon,2016,21486,23
114,wyyjqqe,red,1993,86502,386
115,wwloebs,green,2008,46860,815
116,mtyidbn,azure,1994,64734,201
117,pmqvmev,salmon,1998,98891,170
118,nxtwbmi,pink,2007,29841,361
119,pqithph,plum,2004,17521,601
120,cgfsyau,red,2007,4875,84
121,jqwyjvt,orchid,2010,29644,978
122,wcqfrim,pink,1994,49682,560
123,ydtwvam,"mint green",1995,48328,487
124,mqxisbs,grey,2004,73548,430
125,tndarjj,yellow,2011,90956,245
126,fwceiwy,azure,1997,86592,807
127,mrmoqlg,lime,2014,58681,998
128,jbjsbdh,white,2013,42010,994
129,wytvqbn,grey,1991,11537,687
130,bqocslg,pink,1991,95167,607
131,ncipekx,teal,1991,83460,161
132,vgmsbjv,violet,2009,20898,581
